DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH
2024-02-21 00:00:00,2024,2,PIL,0.0,0,0.0,0,0
2024-03-01 00:00:00,2024,3,ANL,608.0,372,757807929.4,22.26,16.21
2024-03-01 00:00:00,2024,3,BEN,247.0,146,239545203.4,17.65,11.93
2024-03-01 00:00:00,2024,3,CMA,1061.0,702,1320094595.0,31.14,49.69
2024-03-01 00:00:00,2024,3,CNC,19851.0,12423,23120633569.0,30.87,68.25
2024-03-01 00:00:00,2024,3,COS,9619.0,6625,11437017129.0,35.55,79.86
2024-03-01 00:00:00,2024,3,EMC,17723.0,11561,19420042228.0,26.63,53.9
2024-03-01 00:00:00,2024,3,GSL,1227.0,894,1490371935.0,22.02,39.88
2024-03-01 00:00:00,2024,3,KMT,2291.0,1603,2812810916.0,27.16,37.3
2024-03-01 00:00:00,2024,3,LMA,134.0,73,138014187.3,26.46,16.93
2024-03-01 00:00:00,2024,3,MSC,14571.0,9816,17624459211.0,24.12,45.16
2024-03-01 00:00:00,2024,3,MSK,13872.0,8496,16214386789.0,27.81,59.12
2024-03-01 00:00:00,2024,3,NSS,1210.0,777,1419433882.0,22.9,44.24
2024-03-01 00:00:00,2024,3,ONE,3843.0,2582,4573745911.0,24.82,46.26
2024-03-01 00:00:00,2024,3,OOL,4281.0,3056,5116555093.0,24.1,54.69
2024-03-01 00:00:00,2024,3,RCL,1198.0,818,1463478128.0,21.53,30.88
2024-03-01 00:00:00,2024,3,SIT,3727.0,2471,4645249408.0,25.57,33.56
2024-03-01 00:00:00,2024,3,SSL,20490.0,13695,24145157348.0,32.4,73.6
2024-03-01 00:00:00,2024,3,TSL,1335.0,878,1567544143.0,19.07,38.8
2024-03-01 00:00:00,2024,3,WHL,8205.0,5248,9529785171.0,19.44,39.67
04/2024,2024,4,ANL,225.0,164,355904194.1,16.83,5.66
04/2024,2024,4,CMA,1367.0,946,1890733836.0,14.94,28.27
04/2024,2024,4,CNC,21259.0,13245,24885254849.0,26.35,64.36
04/2024,2024,4,COS,9228.0,6050,10800948958.0,28.46,80.44
04/2024,2024,4,EMC,11721.0,7902,13716442705.0,23.31,43.17
04/2024,2024,4,GSL,1034.0,761,1268331088.0,21.54,47.32
04/2024,2024,4,KMT,1992.0,1448,2527601857.0,24.11,42.77
04/2024,2024,4,LMA,345.0,207,380705529.1,17.9,15.34
04/2024,2024,4,MSC,4032.0,2754,4871552782.0,20.91,50.24
04/2024,2024,4,MSK,16631.0,10281,19830327302.0,29.53,80.39
04/2024,2024,4,NSS,775.0,516,913831384.2,24.59,51.38
04/2024,2024,4,ONE,1900.0,1400,2311794746.0,30.43,63.41
04/2024,2024,4,OOL,1889.0,1210,2167802578.0,26.01,59.25
04/2024,2024,4,RCL,2146.0,1467,2799830053.0,19.09,31.04
