DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH,AVERAGE CD,TEUS 2023,BOX 2023,DPP 2023,BCH 2023,BSH 2023,AVERAGE CD 2023
2023-08-02 00:00:00,2023,8,EMC,17155.0,11363,18799964442,27.8,56.81,9,125627.0,83367.0,135441768531,29.0,54.0,9.0
2023-08-03 00:00:00,2023,8,MSC,15089.0,9933,16570286666,28,61.06,3,119635.0,74934.0,133167077891,31.0,77.0,3.0
2023-08-04 00:00:00,2023,8,MSK,14606.0,9301,16596981097,33.8,103.54,3,107116.0,66363.0,118917956086,32.0,79.0,3.0
2023-08-05 00:00:00,2023,8,SSL,12457.0,8208,14116950153,31.3,78.28,5,93600.0,64717.0,107200020862,29.0,59.0,5.0
2023-08-06 00:00:00,2023,8,COS,8207.0,5761,9710081842,30.8,75.62,4,86300.0,58864.0,99598737967,31.0,70.0,4.0
2023-08-07 00:00:00,2023,8,WHL,6588.0,4460,7785088541,27.4,60.93,5,57412.0,37559.0,65742809621,26.0,51.0,5.0
2023-08-08 00:00:00,2023,8,KMT,2805.0,2002,3339001031,32.1,69.26,2,22288.0,15477.0,27410860669,24.0,34.0,2.0
2023-08-09 00:00:00,2023,8,GSL,2610.0,1844,2972495302,28,58.13,2,20533.0,14445.0,24269868832,26.0,48.0,2.0
2023-08-10 00:00:00,2023,8,SIT,2539.0,1623,3164279199,25.6,35.14,3,14427.0,9921.0,16029699710,26.0,56.0,3.0
2023-08-11 00:00:00,2023,8,ONE,2538.0,1584,2865263127,30,53.47,2,14190.0,9613.0,15436729328,25.0,50.0,2.0
2023-08-12 00:00:00,2023,8,OOL,2456.0,1724,2827940049,21.5,49.89,2,13929.0,9864.0,15443939871,32.0,58.0,2.0
2023-08-13 00:00:00,2023,8,YML,2387.0,1628,2669804252,24.7,51.21,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-08-14 00:00:00,2023,8,CMA,2284.0,1581,2677201065,38.2,76.32,2,12337.0,8259.0,14232386283,29.0,54.0,2.0
2023-08-15 00:00:00,2023,8,ANL,800.0,488,907074617.7,25.5,23.3,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-08-16 00:00:00,2023,8,LMA,299.0,243,321991534.1,28,18.19,2,3656.0,2328.0,4310909891,22.0,19.0,2.0
2023-08-17 00:00:00,2023,8,BEN,276.0,249,313372963.7,23.4,19.9,3,1509.0,1134.0,1497999730,22.0,27.0,3.0
2023-09-01 00:00:00,2023,9,SSL,20557.0,14072,23691155436,28.8,77.85,10,197424.0,127852.0,219138441488,30.0,64.0,10.0
2023-09-02 00:00:00,2023,9,CNC,19453.0,12434,22636718335,30.1,72.6,11,141874.0,93716.0,152992914048,29.0,55.0,11.0
2023-09-03 00:00:00,2023,9,MSK,17892.0,10961,19971100017,29.9,91.29,3,137527.0,85895.0,153138177908,31.0,79.0,3.0
2023-09-04 00:00:00,2023,9,MSC,17439.0,12214,18785485399,29.7,68.83,3,127673.0,80435.0,142609111523,32.0,79.0,3.0
2023-09-05 00:00:00,2023,9,EMC,16247.0,10349,17551145516,29.1,58.86,5,111039.0,76931.0,125985506261,29.0,60.0,5.0
2023-09-06 00:00:00,2023,9,WHL,7653.0,4966,8933044559,24.8,51.99,3,92327.0,63008.0,106751414607,30.0,70.0,3.0
2023-09-07 00:00:00,2023,9,COS,6027.0,4144,7152676640,25.6,75.13,5,65065.0,42525.0,74675854180,26.0,51.0,5.0
2023-09-08 00:00:00,2023,9,SIT,3494.0,2267,4314835399,24.5,39.13,2,25782.0,17744.0,31725696069,24.0,34.0,2.0
2023-09-09 00:00:00,2023,9,GSL,2916.0,1987,3312785900,21.2,51.84,2,22519.0,15755.0,26567422996,25.0,47.0,2.0
2023-09-10 00:00:00,2023,9,KMT,1986.0,1310,2297554164,19.5,40.68,3,16845.0,11851.0,18756725772,31.0,58.0,3.0
2023-09-11 00:00:00,2023,9,CMA,1254.0,871,1523814406,36.8,74.67,2,15650.0,10794.0,17448492018,27.0,58.0,2.0
2023-09-12 00:00:00,2023,9,OOL,1223.0,873,1418792308,33.5,73.17,2,15378.0,10427.0,16788869420,26.0,51.0,2.0
2023-09-13 00:00:00,2023,9,YML,1188.0,814,1352140092,28.7,58.98,2,13463.0,9045.0,15566666402,30.0,57.0,2.0
2023-09-14 00:00:00,2023,9,ONE,1126.0,786,1334280119,39,79.31,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-09-15 00:00:00,2023,9,ANL,1047.0,644,1192396563,23.8,20.2,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-09-16 00:00:00,2023,9,BEN,432.0,331,466942005.4,26.1,23.93,2,4703.0,2972.0,5503306454,22.0,19.0,2.0
2023-09-17 00:00:00,2023,9,LMA,194.0,138,215776772.3,20.1,15.14,1,1813.0,1286.0,1618669616,27.0,34.0,1.0
2023-10-01 00:00:00,2023,10,SSL,22901.0,16140,27278259885,31.1,76.57,11,217421.0,140576.0,242459394247,30.0,65.0,11.0
2023-10-02 00:00:00,2023,10,MSK,21525.0,13044,24968732861,29.9,77.19,9,159285.0,105303.0,172583474547,29.0,55.0,9.0
2023-10-03 00:00:00,2023,10,EMC,17411.0,11587,19590560500,26.9,57.84,3,159052.0,98939.0,178106910768,31.0,79.0,3.0
2023-10-04 00:00:00,2023,10,CNC,17411.0,11022,20235009463,26.4,65.8,3,150574.0,96575.0,169887371407,32.0,79.0,3.0
2023-10-05 00:00:00,2023,10,MSC,12745.0,8256,14511755154,26.6,54.74,5,123784.0,85187.0,140497261415,29.0,59.0,5.0
2023-10-06 00:00:00,2023,10,COS,10870.0,7254,13156989892,28.2,70.99,3,103197.0,70262.0,119908404499,30.0,71.0,3.0
2023-10-07 00:00:00,2023,10,WHL,6855.0,4790,8544952425,19.3,40.86,2,71920.0,47315.0,83220806605,26.0,50.0,2.0
2023-10-08 00:00:00,2023,10,KMT,2962.0,2026,3673435251,24.7,44.65,2,28369.0,19422.0,35159453635,24.0,35.0,2.0
2023-10-09 00:00:00,2023,10,SIT,2587.0,1678,3433757566,24.5,40.72,2,25481.0,17781.0,30240858247,25.0,47.0,2.0
2023-10-10 00:00:00,2023,10,CMA,2586.0,1702,3085943297,26.5,74.01,2,18279.0,12850.0,20429850473,31.0,58.0,2.0
2023-10-11 00:00:00,2023,10,OOL,2560.0,1748,2969418431,22.5,53.95,3,18210.0,12542.0,20417910449,27.0,58.0,3.0
2023-10-12 00:00:00,2023,10,ONE,2406.0,1608,2922291225,35.3,74.79,2,17753.0,12075.0,19589540898,26.0,51.0,2.0
2023-10-13 00:00:00,2023,10,YML,2375.0,1648,2800671478,23,47.8,0,15869.0,10653.0,18488957627,31.0,59.0,0.0
2023-10-14 00:00:00,2023,10,GSL,1434.0,999,1673124702,32.8,62.31,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-10-15 00:00:00,2023,10,ANL,593.0,376,768569999.3,24.5,13.79,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-10-16 00:00:00,2023,10,BEN,218.0,115,192593958.7,25.8,27.78,2,5296.0,3348.0,6271876453,23.0,18.0,2.0
2023-10-17 00:00:00,2023,10,LMA,144.0,100,171393380.4,18.6,10.22,2,2031.0,1401.0,1811263574,27.0,33.0,2.0
2023-11-01 00:00:00,2023,11,EMC,19242.0,12584,21180694927,31.5,65.5,11,236450.0,152924.0,265074660722,30.0,64.0,11.0
2023-11-02 00:00:00,2023,11,SSL,18648.0,13383,22451251366,32.1,86.21,9,178527.0,117887.0,193764169474,29.0,56.0,9.0
2023-11-03 00:00:00,2023,11,CNC,17724.0,11493,21068153864,31.1,72.79,3,173380.0,108000.0,194703482657,31.0,80.0,3.0
2023-11-04 00:00:00,2023,11,MSK,14328.0,9061,16596571888,31.2,99.5,3,169222.0,109958.0,192338622773,32.0,79.0,3.0
2023-11-05 00:00:00,2023,11,MSC,11331.0,7372,13401609836,26.5,61.64,5,135115.0,92559.0,153898871251,29.0,59.0,5.0
2023-11-06 00:00:00,2023,11,COS,7021.0,4951,8636566255,29.7,82.76,5,110218.0,75213.0,128544970754,30.0,72.0,5.0
2023-11-07 00:00:00,2023,11,WHL,5642.0,3720,6877552444,27.8,59.13,2,77562.0,51035.0,90098359050,26.0,51.0,2.0
2023-11-08 00:00:00,2023,11,SIT,3322.0,2092,4071064337,22.5,38.55,4,31691.0,21514.0,39230517972,24.0,35.0,4.0
2023-11-09 00:00:00,2023,11,GSL,2768.0,1920,3161698211,23.4,52.58,2,28151.0,19604.0,33513916935,25.0,46.0,2.0
2023-11-10 00:00:00,2023,11,KMT,2670.0,1823,3273058687,20.5,36,3,21047.0,14770.0,23591548685,30.0,58.0,3.0
2023-11-11 00:00:00,2023,11,ONE,2324.0,1507,2707923491,27.6,58.74,3,19463.0,13370.0,21806199229,26.0,58.0,3.0
2023-11-12 00:00:00,2023,11,CMA,1305.0,855,1547112610,26.1,52.67,2,18743.0,12776.0,20758620047,25.0,51.0,2.0
2023-11-13 00:00:00,2023,11,OOL,1253.0,828,1388288780,22.7,55.71,5,18193.0,12160.0,21196881118,30.0,59.0,5.0
2023-11-14 00:00:00,2023,11,YML,990.0,701,1169079148,24.9,53.99,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-11-15 00:00:00,2023,11,ANL,859.0,537,1032618131,22.1,16.95,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-11-16 00:00:00,2023,11,BEN,500.0,342,505065764.9,22.6,29.73,3,6155.0,3885.0,7304494584,23.0,18.0,3.0
2023-11-17 00:00:00,2023,11,LMA,172.0,99,170607630.8,17.9,21.95,2,2672.0,1713.0,3181198520,29.0,54.0,2.0
2023-12-01 00:00:00,2023,12,ANL,995.0,609,1143662495,81.69,73.62,10.7,264028.0,170283.0,297347594314,29.0,64.0,10.7
2023-12-02 00:00:00,2023,12,BEN,243.0,144,232960996.3,46.14,50.8,8.6,194595.0,128853.0,211914621791,29.0,56.0,8.6
2023-12-03 00:00:00,2023,12,CMA,2413.0,1557,2933420369,104.55,252.95,2.8,192178.0,125559.0,218930487745,32.0,79.0,2.8
