TANGGAL,YEAR,MONTH,LOP,TEUS,%
2023-01-06 00:00:00,2023,1,WHL,7082,-0.15737865664324235
2023-01-07 00:00:00,2023,1,COSCO,6956,0.16000483033450066
2023-01-08 00:00:00,2023,1,OOCL,5333,0.0083674228337672
2023-01-09 00:00:00,2023,1,RCL,3394,0.12412903225806451
2023-01-10 00:00:00,2023,1,HAPAG,0,1.0
2023-01-11 00:00:00,2023,1,SITC,3367,0.21987951807228914
2023-01-12 00:00:00,2023,1,KMTC,1676,0.47394852479598243
2023-01-13 00:00:00,2023,1,YML,2614,-0.2255039849976559
2023-01-14 00:00:00,2023,1,GSL,1533,-0.049281314168377825
2023-01-15 00:00:00,2023,1,OTHERS,3240,-0.5743440233236151
2023-01-16 00:00:00,2023,1,SSL,840,0.5084844938560562
2023-01-17 00:00:00,2023,1,PIL,984,0.24655436447166923
2023-01-18 00:00:00,2023,1,ANL,0,1.0
2023-01-19 00:00:00,2023,1,HMM,428,0.3495440729483283
2023-01-20 00:00:00,2023,1,XCL,199,0.6846275752773375
2023-01-21 00:00:00,2023,1,MELL,0,1.0
2023-01-22 00:00:00,2023,1,BEN,0,1.0
2023-01-23 00:00:00,2023,1,KRL,0,0.0
2023-02-01 00:00:00,2023,2,KSL,0,0.0
2023-02-02 00:00:00,2023,2,CMA,26177,0.25984674979500666
2023-02-03 00:00:00,2023,2,EMC,26360,0.23083656736015873
2023-02-04 00:00:00,2023,2,MSK,23283,0.19652840085582166
2023-02-05 00:00:00,2023,2,MSC,18911,0.053361365570405966
2023-02-06 00:00:00,2023,2,ONE,19908,0.1635996975044114
2023-02-07 00:00:00,2023,2,WHL,14033,-0.14601878317680686
2023-02-08 00:00:00,2023,2,COSCO,14225,0.20787392805434904
2023-02-09 00:00:00,2023,2,OOCL,11061,0.06508325585326684
2023-02-10 00:00:00,2023,2,RCL,6808,0.11029796131730267
2023-02-11 00:00:00,2023,2,HAPAG,0,1.0
2023-02-12 00:00:00,2023,2,SITC,5937,0.20115715823466093
2023-02-13 00:00:00,2023,2,KMTC,3410,0.4633301857097891
2023-02-14 00:00:00,2023,2,YML,5314,-0.44874591057797164
2023-02-15 00:00:00,2023,2,GSL,3230,0.027694160144491272
2023-02-16 00:00:00,2023,2,OTHERS,6272,-0.5398968819052296
2023-02-17 00:00:00,2023,2,SSL,1703,0.43043478260869567
2023-02-18 00:00:00,2023,2,PIL,2447,-0.05656303972366149
2023-02-19 00:00:00,2023,2,ANL,952,0.0
2023-02-20 00:00:00,2023,2,HMM,881,0.31705426356589145
2023-02-21 00:00:00,2023,2,XCL,450,0.6049165935030729
2023-02-22 00:00:00,2023,2,MELL,80,0.8377281947261663
2023-02-23 00:00:00,2023,2,BEN,0,
2023-02-24 00:00:00,2023,2,KRL,70,
2023-02-25 00:00:00,2023,2,KSL,0,
2023-03-01 00:00:00,2023,3,CMA,42553,
2023-03-02 00:00:00,2023,3,EMC,43878,
2023-03-03 00:00:00,2023,3,MSK,36350,
2023-03-04 00:00:00,2023,3,MSC,29650,
2023-03-05 00:00:00,2023,3,ONE,31603,
2023-03-06 00:00:00,2023,3,WHL,24826,
2023-03-07 00:00:00,2023,3,COSCO,21905,
2023-03-08 00:00:00,2023,3,OOCL,17250,
2023-03-09 00:00:00,2023,3,RCL,9981,
2023-03-10 00:00:00,2023,3,HAPAG,9167,
2023-03-11 00:00:00,2023,3,SITC,9104,
2023-03-12 00:00:00,2023,3,KMTC,5709,
2023-03-13 00:00:00,2023,3,YML,7870,
2023-03-14 00:00:00,2023,3,GSL,5264,
2023-03-15 00:00:00,2023,3,OTHERS,12173,
2023-03-16 00:00:00,2023,3,SSL,3010,
2023-03-17 00:00:00,2023,3,PIL,3844,
2023-03-18 00:00:00,2023,3,ANL,1755,
2023-03-19 00:00:00,2023,3,HMM,1463,
2023-03-20 00:00:00,2023,3,XCL,715,
2023-03-21 00:00:00,2023,3,MELL,350,
2023-03-22 00:00:00,2023,3,BEN,0,
2023-03-23 00:00:00,2023,3,KRL,70,
2023-03-24 00:00:00,2023,3,KSL,0,
2023-04-01 00:00:00,2023,4,CMA,58928,
2023-04-02 00:00:00,2023,4,EMC,55758,
2023-04-03 00:00:00,2023,4,MSK,51931,
2023-04-04 00:00:00,2023,4,MSC,39554,
2023-04-05 00:00:00,2023,4,ONE,40769,
2023-04-06 00:00:00,2023,4,WHL,31395,
2023-04-07 00:00:00,2023,4,COSCO,27725,
2023-04-08 00:00:00,2023,4,OOCL,21904,
2023-04-09 00:00:00,2023,4,RCL,12640,
2023-04-10 00:00:00,2023,4,HAPAG,12055,
2023-04-11 00:00:00,2023,4,SITC,12092,
2023-04-12 00:00:00,2023,4,KMTC,7580,
2023-04-13 00:00:00,2023,4,YML,9967,
2023-04-14 00:00:00,2023,4,GSL,6927,
2023-04-15 00:00:00,2023,4,OTHERS,16840,
2023-04-16 00:00:00,2023,4,SSL,4068,
2023-04-17 00:00:00,2023,4,PIL,4715,
2023-04-18 00:00:00,2023,4,ANL,2575,
