tanggal,year,month,lop,teus,persentase,sumber_sheet
2022-10-10 00:00:00,2022,10,HAPAG,19522,0.3938020121724009,SL INT
2022-10-11 00:00:00,2022,10,SITC,32194,-0.002616007474307,SL INT
2022-10-12 00:00:00,2022,10,KMTC,21837,0.1388176834799069,SL INT
2022-10-13 00:00:00,2022,10,YML,24871,-0.0284072113794244,SL INT
2022-10-14 00:00:00,2022,10,GSL,12339,0.3158682634730539,SL INT
2022-10-15 00:00:00,2022,10,OTHERS,27905,-0.7339837196296527,SL INT
2022-10-16 00:00:00,2022,10,SSL,14221,-0.0693285209414241,SL INT
2022-10-17 00:00:00,2022,10,PIL,18498,-0.5714892532495115,SL INT
2022-10-18 00:00:00,2022,10,ANL,0,1.0,SL INT
2022-10-19 00:00:00,2022,10,HMM,11851,-0.9408778250900752,SL INT
2022-10-20 00:00:00,2022,10,XCL,8413,-1.2087161984772907,SL INT
2022-10-21 00:00:00,2022,10,MELL,850,0.602803738317757,SL INT
2022-10-22 00:00:00,2022,10,BEN,0,1.0,SL INT
2022-10-23 00:00:00,2022,10,KRL,1146,-15.371428571428572,SL INT
2022-10-24 00:00:00,2022,10,KSL,983,0.0,SL INT
2022-11-01 00:00:00,2022,11,CMA,176873,0.0373367876211676,SL INT
2022-11-02 00:00:00,2022,11,EMC,148163,0.164261862322601,SL INT
2022-11-03 00:00:00,2022,11,MSK,163753,0.0281778743152859,SL INT
2022-11-04 00:00:00,2022,11,MSC,107820,0.2005042266053685,SL INT
2022-11-05 00:00:00,2022,11,ONE,113352,0.0945891975653785,SL INT
2022-11-06 00:00:00,2022,11,WHL,60705,0.2519685039370078,SL INT
2022-11-07 00:00:00,2022,11,COSCO,113737,-0.5026290757279501,SL INT
2022-11-08 00:00:00,2022,11,OOCL,55295,0.0323229848447726,SL INT
2022-11-09 00:00:00,2022,11,RCL,28079,0.2517653955818477,SL INT
2022-11-10 00:00:00,2022,11,HAPAG,19522,0.4489202540578687,SL INT
2022-11-11 00:00:00,2022,11,SITC,35487,-0.0050412076241184,SL INT
2022-11-12 00:00:00,2022,11,KMTC,23985,0.137571464528424,SL INT
2022-11-13 00:00:00,2022,11,YML,27994,-0.0840303593556381,SL INT
2022-11-14 00:00:00,2022,11,GSL,14432,0.2661446150716973,SL INT
2022-11-15 00:00:00,2022,11,OTHERS,31313,-0.8108373814480685,SL INT
2022-11-16 00:00:00,2022,11,SSL,15222,-0.0307421451787648,SL INT
2022-11-17 00:00:00,2022,11,PIL,19854,-0.5259395895780493,SL INT
2022-11-18 00:00:00,2022,11,ANL,0,1.0,SL INT
2022-11-19 00:00:00,2022,11,HMM,12592,-0.9414122725871108,SL INT
2022-11-20 00:00:00,2022,11,XCL,8558,-0.913257321708026,SL INT
2022-11-21 00:00:00,2022,11,MELL,894,0.6578645235361653,SL INT
2022-11-22 00:00:00,2022,11,BEN,0,1.0,SL INT
2022-11-23 00:00:00,2022,11,KRL,1146,-15.371428571428572,SL INT
2022-11-24 00:00:00,2022,11,KSL,983,0.0,SL INT
2022-12-01 00:00:00,2022,12,CMA,199067,0.0219327768251519,SL INT
2022-12-02 00:00:00,2022,12,EMC,163326,0.158976101833686,SL INT
2022-12-03 00:00:00,2022,12,MSK,179658,0.0306833202945857,SL INT
2022-12-04 00:00:00,2022,12,MSC,115596,0.2042186133924453,SL INT
2022-12-05 00:00:00,2022,12,ONE,124359,0.1092910656219112,SL INT
2022-12-06 00:00:00,2022,12,WHL,68490,0.2272891375964619,SL INT
2022-12-07 00:00:00,2022,12,COSCO,121343,-0.4589931344611574,SL INT
2022-12-08 00:00:00,2022,12,OOCL,60927,0.0234179649932679,SL INT
2022-12-09 00:00:00,2022,12,RCL,31561,0.2334167253649413,SL INT
2022-12-10 00:00:00,2022,12,HAPAG,28766,0.2812991880074953,SL INT
2022-12-11 00:00:00,2022,12,SITC,39109,0.0031097856287119,SL INT
2022-12-12 00:00:00,2022,12,KMTC,26467,0.1438783761927866,SL INT
2022-12-13 00:00:00,2022,12,YML,30386,-0.1010617096061166,SL INT
2022-12-14 00:00:00,2022,12,GSL,16092,0.2519871705480407,SL INT
2022-12-15 00:00:00,2022,12,OTHERS,34782,-0.7951073492981008,SL INT
2022-12-16 00:00:00,2022,12,SSL,15947,0.0381785283474065,SL INT
2022-12-17 00:00:00,2022,12,PIL,20909,-0.4556530214424951,SL INT
2022-12-18 00:00:00,2022,12,ANL,0,1.0,SL INT
2022-12-19 00:00:00,2022,12,HMM,13160,-0.8467583497053045,SL INT
2022-12-20 00:00:00,2022,12,XCL,9169,-0.8341668333666733,SL INT
2022-12-21 00:00:00,2022,12,MELL,1034,0.6664516129032259,SL INT
2022-12-22 00:00:00,2022,12,BEN,0,1.0,SL INT
2022-12-23 00:00:00,2022,12,KRL,1275,-17.214285714285715,SL INT
2022-12-24 00:00:00,2022,12,KSL,983,0.0,SL INT
2023-01-01 00:00:00,2023,1,CMA,14158,0.2564856632706648,SL INT
2023-01-02 00:00:00,2023,1,EMC,13601,0.180909364649202,SL INT
2023-01-03 00:00:00,2023,1,MSK,9889,0.3019200903571933,SL INT
2023-01-04 00:00:00,2023,1,MSC,10754,-0.0328467153284671,SL INT
2023-01-05 00:00:00,2023,1,ONE,10592,0.1566878980891719,SL INT
2023-01-06 00:00:00,2023,1,WHL,7082,-0.1573786566432423,SL INT
2023-01-07 00:00:00,2023,1,COSCO,6956,0.1600048303345006,SL INT
2023-01-08 00:00:00,2023,1,OOCL,5333,0.0083674228337672,SL INT
2023-01-09 00:00:00,2023,1,RCL,3394,0.1241290322580645,SL INT
2023-01-10 00:00:00,2023,1,HAPAG,0,1.0,SL INT
2023-01-11 00:00:00,2023,1,SITC,3367,0.2198795180722891,SL INT
2023-01-12 00:00:00,2023,1,KMTC,1676,0.4739485247959824,SL INT
2023-01-13 00:00:00,2023,1,YML,2614,-0.2255039849976559,SL INT
2023-01-14 00:00:00,2023,1,GSL,1533,-0.0492813141683778,SL INT
2023-01-15 00:00:00,2023,1,OTHERS,3240,-0.5743440233236151,SL INT
2023-01-16 00:00:00,2023,1,SSL,840,0.5084844938560562,SL INT
2023-01-17 00:00:00,2023,1,PIL,984,0.2465543644716692,SL INT
2023-01-18 00:00:00,2023,1,ANL,0,1.0,SL INT
2023-01-19 00:00:00,2023,1,HMM,428,0.3495440729483283,SL INT
2023-01-20 00:00:00,2023,1,XCL,199,0.6846275752773375,SL INT
2023-01-21 00:00:00,2023,1,MELL,0,1.0,SL INT
